"TimeEntryID","TimeEntryDatasourceID","TimeEntrySourceID","TimeEntryMatterID","TimeEntryStaffID","TimeEntryName","TimeEntryDate","TimeEntryMonth","TimeEntryQuarter","TimeEntryYear","TimeEntryAmount","TimeEntryRate","TimeEntryGross","TimeEntryStatus","TimeEntryPayable","TimeEntryIsActive","TimeEntryUpdatedDatetime","TotalBilledToDate","TotalPaidToDate","TimeEntryBilledAmount","TimeEntryInvoiceID","Staff","MatterType","TransactionPaymentAmount","LastPaymentDate","CTimeEntryPayable","TotalPaymentPayable","TimeEntryBreakDown","TotalPayout"
"1~B062AB2DD5CEA532","1","B062AB2DD5CEA532","1~AB9DDB1298358443","1~Y977BAFE02C5D403","10109.010 - Ascend Hospitality Group - GC2 - Review and respond to emails regarding internship program. ","2025-04-04","4","2","2025","0.2","350.0","70.0","Y","False","True","2025-09-09 02:00:01.010","0.0","0.0","33.77","H378AB31D3C56581","CAJ","2","15000.0","2025-04-04","33.77","6000.0","0.0022","13.2"
"1~B066EB1FE0483938","1","B066EB1FE0483938","1~AB9DDB1298358443","1~Y977BAFE02C5D403","10109.010 - Ascend Hospitality Group - GC2 - Review email correspondence regarding advisability of E. Morris executing settlement agreement regarding AQT for both parties in preparation to advise regarding the same; Review emails and update strategy memo regarding tax issue in Northgate and financial analysis regarding food hall rented by Kemper; work on ideal lease terms and form LOI.","2024-09-05","9","3","2024","2.0","350.0","700.0","Y","False","True","2025-09-09 02:00:01.010","0.0","0.0","283.18","H4A2BB22B440B472","CAJ","2","15000.0","2024-09-05","283.18","6000.0","0.019","114.0"
"1~B0803B2AA789E963","1","B0803B2AA789E963","1~AB9DDB1298358443","1~Y05DDAAF3FA5C240","10109.010 - Ascend Hospitality Group - GC2 - Review and respond to emails.","2025-02-06","2","1","2025","0.7","400.0","280.0","Y","False","True","2025-09-09 02:00:01.010","0.0","0.0","77.18","HF08FB31D537E998","JRJ","2","15000.0","2025-02-06","77.18","6000.0","0.0141","84.6"
"1~B097DB21EF43E966","1","B097DB21EF43E966","1~AB9DDB1298358443","1~Y05DDAAF3FA5C240","10109.010 - Ascend Hospitality Group - GC2 - Review Northgate tax email.","2024-10-03","10","4","2024","0.2","400.0","80.0","Y","False","True","2025-09-09 02:00:01.010","0.0","0.0","54.73","HEBACB2817B80480","JRJ","2","15000.0","2024-10-03","54.73","6000.0","0.0036","21.6"
"1~B0A4CB2FF6660629","1","B0A4CB2FF6660629","1~A27C9B321A696349","1~Y2FC8AAF389FC807","11091.003 - Plan Group Financial - GC2 - Call with Doug to discuss YAC agreements and severance agreement.","2025-07-01","7","3","2025","0.9","420.0","378.0","Y","False","True","2025-09-09 02:00:01.010","0.0","0.0","347.79","HDE8BB345B6B9282","RAW","2","6000.0","2025-07-01","347.79","2400.0","0.0993","238.32"
"1~B0A7DB307220E490","1","B0A7DB307220E490","1~A27C9B321A696349","1~Y2FC8AAF389FC807","11091.003 - Plan Group Financial - GC2 - Work on NDA for investors. ","2025-07-01","7","3","2025","0.3","420.0","126.0","Y","False","True","2025-09-09 02:00:01.010","0.0","0.0","115.93","HDE8BB345B6B9282","RAW","2","6000.0","2025-07-01","115.93","2400.0","0.0331","79.44"
"1~B0AA8B2C7F0CA341","1","B0AA8B2C7F0CA341","1~AB9DDB1298358443","1~Y05DDAAF3FA5C240","10109.010 - Ascend Hospitality Group - GC2 - Email comments on WA tax laws.  Meeting on management agreement.","2025-03-04","3","1","2025","2.4","400.0","960.0","Y","False","True","2025-09-09 02:00:01.010","0.0","0.0","663.9","H151FB31DE0FD393","JRJ","2","15000.0","2025-03-04","663.9","6000.0","0.0419","251.4"
"1~B0C43B29F133A124","1","B0C43B29F133A124","1~AB9DDB1298358443","1~Y05DDAAF3FA5C240","10109.010 - Ascend Hospitality Group - GC2 - Assess Mama Bird issue.  Review FD's franchise agreement.","2025-02-06","2","1","2025","2.0","400.0","800.0","Y","False","True","2025-09-09 02:00:01.010","0.0","0.0","220.52","HF08FB31D537E998","JRJ","2","15000.0","2025-02-06","220.52","6000.0","0.0405","243.0"
"1~B0C9FB1FE9A30409","1","B0C9FB1FE9A30409","1~A2543AB03D49B585","1~YB387AAF35F66861","10095.000 - Triton Value Partners SW, LLC - GC2 - Received notice from USPTO regarding renewal of Americlaim trademark in response to office action rejection from examiner. Researched USPTO database and inhouse records regarding status of USPTO decision, authorized docketing entries for 3 remaining trademarks.","2024-10-11","10","4","2024","0.4","375.0","150.0","Y","False","True","2025-09-09 02:00:01.010","0.0","0.0","68.29","HEFD1B21754DD798","BPL","2","3500.0","2024-10-11","68.29","1400.0","0.0195","27.3"
"1~B0CB2B2FD62F0927","1","B0CB2B2FD62F0927","1~AB9DDB1298358443","1~Y05DDAAF3FA5C240","10109.010 - Ascend Hospitality Group - GC2 - Review management agreement for J Frederick.","2025-05-19","5","2","2025","4.0","400.0","1600.0","Y","False","True","2025-09-09 02:00:01.010","0.0","0.0","935.85","H591BB31D8C4D509","JRJ","2","15000.0","2025-05-19","935.85","6000.0","0.0316","189.6"
"1~B0CBAB2ACB945459","1","B0CBAB2ACB945459","1~AB9DDB1298358443","1~Y977BAFE02C5D403","10109.010 - Ascend Hospitality Group - GC2 - Review Northgate tax issue and work on strategy, update memo; Review emails regarding Mr. Prince and demand for additional compensation; Review demand letter from Franchisor relating to FD closed in WA state, update memo; Confer regarding immigration issues, update strategy memo. ","2025-02-06","2","1","2025","1.0","350.0","350.0","Y","False","True","2025-09-09 02:00:01.010","0.0","0.0","96.48","HF08FB31D537E998","CAJ","2","15000.0","2025-02-06","96.48","6000.0","0.0177","106.2"
"1~B0D8EB2B2393F274","1","B0D8EB2B2393F274","1~AB9DDB1298358443","1~Y977BAFE02C5D403","10109.010 - Ascend Hospitality Group - GC2 - Attend L10 and present legal update to executives; Work on reviewing Ascend Lease and answering multiple questions from client in preparation of strategy for negotiating revisions with landlord. ","2025-03-04","3","1","2025","1.5","350.0","525.0","Y","False","True","2025-09-09 02:00:01.010","0.0","0.0","363.07","H151FB31DE0FD393","CAJ","2","15000.0","2025-03-04","363.07","6000.0","0.0229","137.4"
"1~B0EB4B2A21444265","1","B0EB4B2A21444265","1~AB9DDB1298358443","1~Y05DDAAF3FA5C240","10109.010 - Ascend Hospitality Group - GC2 - Attend L10 meeting.  Review NDA.  Review Tanasbourne LL letter.","2025-02-06","2","1","2025","1.7","400.0","680.0","Y","False","True","2025-09-09 02:00:01.010","0.0","0.0","187.44","HF08FB31D537E998","JRJ","2","15000.0","2025-02-06","187.44","6000.0","0.0344","206.4"
"1~B0EEFB1BBAF3B933","1","B0EEFB1BBAF3B933","1~AB9DDB1298358443","1~Y05DDAAF3FA5C240","10109.010 - Ascend Hospitality Group - GC2 - Review email and response to same.","2025-08-04","8","3","2025","1.9","400.0","760.0","Y","False","True","2025-09-09 02:00:01.010","0.0","0.0","209.49","HD2E5B3471D0F264","JRJ","2","15000.0","2025-08-04","209.49","6000.0","0.0137","82.2"
"1~B0F6BB28EC9FF967","1","B0F6BB28EC9FF967","1~AB9DDB1298358443","1~Y05DDAAF3FA5C240","10109.010 - Ascend Hospitality Group - GC2 - Gift card research.  Replied to emails.  Emailed D. Lombardi.","2025-01-03","1","1","2025","1.4","400.0","560.0","Y","False","True","2025-09-09 02:00:01.010","0.0","0.0","154.36","HC1DCB31DFCAA370","JRJ","2","15000.0","2025-01-03","154.36","6000.0","0.008","48.0"
"1~B0F82B2C2332E672","1","B0F82B2C2332E672","1~AB9DDB1298358443","1~Y05DDAAF3FA5C240","10109.010 - Ascend Hospitality Group - GC2 - Immigration law research.  Assess options for Northgate taxes.","2025-03-04","3","1","2025","2.0","400.0","800.0","Y","False","True","2025-09-09 02:00:01.010","0.0","0.0","553.25","H151FB31DE0FD393","JRJ","2","15000.0","2025-03-04","553.25","6000.0","0.0349","209.4"
"1~B103FB3438A44932","1","B103FB3438A44932","1~AB9DDB1298358443","1~Y05DDAAF3FA5C240","10109.010 - Ascend Hospitality Group - GC2 - Update NDA.","2025-08-04","8","3","2025","3.8","400.0","1520.0","Y","False","True","2025-09-09 02:00:01.010","0.0","0.0","404.61","HD2E5B3471D0F264","JRJ","2","15000.0","2025-08-04","404.61","6000.0","0.0266","159.6"
"1~B10DDB324E41B520","1","B10DDB324E41B520","1~AB9DDB1298358443","1~Y977BAFE02C5D403","10109.010 - Ascend Hospitality Group - GC2 - Work on Mama Bird Lease; Review emails relating to Northgate Tax issue and Mama Bird issues. ","2025-06-05","6","2","2025","1.5","400.0","600.0","Y","False","True","2025-09-09 02:00:01.010","0.0","0.0","259.41","HF1A8B32A52DD279","CAJ","2","15000.0","2025-06-05","259.41","6000.0","0.0101","60.6"
"1~B10FDB25743A7545","1","B10FDB25743A7545","1~AB9DDB1298358443","1~Y977BAFE02C5D403","10109.010 - Ascend Hospitality Group - GC2 - Prepare for L10 Strategy meeting, draft update memo; Attend L10 strategy meeting and present update on legal matters; Confer regarding BOI status, update strategy memo; Confer regarding potential constructive eviction for power outage.","2024-12-05","12","4","2024","2.0","350.0","700.0","Y","False","True","2025-09-09 02:00:01.010","0.0","0.0","585.94","H5836B281BA27898","CAJ","2","15000.0","2024-12-05","585.94","6000.0","0.039","234.0"
"1~B1157B1A11226897","1","B1157B1A11226897","1~AB9DDB1298358443","1~YD5A8AAF363E1263","10109.010 - Ascend Hospitality Group - GC2 - Review inquiry regarding employee complaint and investigation; advise regarding next steps.","2025-08-04","8","3","2025","0.1","400.0","40.0","Y","False","True","2025-09-09 02:00:01.010","0.0","0.0","11.03","HD2E5B3471D0F264","AEZ","2","15000.0","2025-08-04","11.03","6000.0","0.0007","4.2"
"1~B1160B339AA34582","1","B1160B339AA34582","1~AB9DDB1298358443","1~Y05DDAAF3FA5C240","10109.010 - Ascend Hospitality Group - GC2 - Draft License for MB.","2025-08-04","8","3","2025","1.8","400.0","720.0","Y","False","True","2025-09-09 02:00:01.010","0.0","0.0","191.66","HD2E5B3471D0F264","JRJ","2","15000.0","2025-08-04","191.66","6000.0","0.0126","75.6"
"1~B11D9B30041DC236","1","B11D9B30041DC236","1~A27C9B321A696349","1~Y7B49B2A2E165654","11091.003 - Plan Group Financial - GC2 - Prepare Severance Agreement. ","2025-07-01","7","3","2025","1.0","400.0","400.0","Y","False","True","2025-09-09 02:00:01.010","0.0","0.0","368.03","HDE8BB345B6B9282","KWD","2","6000.0","2025-07-01","368.03","2400.0","0.1051","252.24"
"1~B124EB294F31C723","1","B124EB294F31C723","1~AB9DDB1298358443","1~Y05DDAAF3FA5C240","10109.010 - Ascend Hospitality Group - GC2 - Review emails.  Review ITA agreement.  Draft email regarding FD BBQ Tacoma.  ","2025-02-06","2","1","2025","1.8","400.0","720.0","Y","False","True","2025-09-09 02:00:01.010","0.0","0.0","198.47","HF08FB31D537E998","JRJ","2","15000.0","2025-02-06","198.47","6000.0","0.0364","218.4"
"1~B124FB289BE85601","1","B124FB289BE85601","1~AB9DDB1298358443","1~Y05DDAAF3FA5C240","10109.010 - Ascend Hospitality Group - GC2 - Reviewed Famous Dave's FAs regarding gift cards.","2025-01-03","1","1","2025","1.3","400.0","520.0","Y","False","True","2025-09-09 02:00:01.010","0.0","0.0","143.34","HC1DCB31DFCAA370","JRJ","2","15000.0","2025-01-03","143.34","6000.0","0.0074","44.4"
"1~B133CB1A200BB234","1","B133CB1A200BB234","1~AB9DDB1298358443","1~Y977BAFE02C5D403","10109.010 - Ascend Hospitality Group - GC2 - Review Tukwila lease issue, draft email to client regarding the same; update strategy memo. ","2025-08-04","8","3","2025","0.3","350.0","105.0","Y","False","True","2025-09-09 02:00:01.010","0.0","0.0","28.94","HD2E5B3471D0F264","CAJ","2","15000.0","2025-08-04","28.94","6000.0","0.0019","11.4"
"1~B15CEB265680F320","1","B15CEB265680F320","1~AB9DDB1298358443","1~Y977BAFE02C5D403","10109.010 - Ascend Hospitality Group - GC2 - Prepare for L10 Meeting, draft summary strategy memo, review emails in preparation to respond, review emails relating to tax settlement efforts in Northgate and repayment efforts in Ascend power outage matter. ","2024-12-05","12","4","2024","1.0","350.0","350.0","Y","False","True","2025-09-09 02:00:01.010","0.0","0.0","292.97","H5836B281BA27898","CAJ","2","15000.0","2024-12-05","292.97","6000.0","0.0195","117.0"
"1~B161AB33E1F23766","1","B161AB33E1F23766","1~AB9DDB1298358443","1~Y977BAFE02C5D403","10109.010 - Ascend Hospitality Group - GC2 - Work on Mama Bird Lease; Draft comprehensive email regarding the same; Work on Construction Guidlines; Draft email regarding the same. ","2025-08-04","8","3","2025","3.2","400.0","1280.0","Y","False","True","2025-09-09 02:00:01.010","0.0","0.0","340.73","HD2E5B3471D0F264","CAJ","2","15000.0","2025-08-04","340.73","6000.0","0.0224","134.4"
"1~B1633B2ADA2EA282","1","B1633B2ADA2EA282","1~AB9DDB1298358443","1~Y977BAFE02C5D403","10109.010 - Ascend Hospitality Group - GC2 - Review emails regarding follow-up to tax issue in Northgate, update strategy memo; Review emails regarding ITA agreement, update strategy memo; review emails relating to franchise demand letter, update strategy memo. ","2025-02-06","2","1","2025","0.6","350.0","210.0","Y","False","True","2025-09-09 02:00:01.010","0.0","0.0","145.23","HF08FB31D537E998","CAJ","2","15000.0","2025-02-06","145.23","6000.0","0.0266","159.6"
"1~B17BAB2EAD952354","1","B17BAB2EAD952354","1~AB9DDB1298358443","1~Y05DDAAF3FA5C240","10109.010 - Ascend Hospitality Group - GC2 - Assess Simon issue.  Develop Term Sheet for Mama Bird.","2025-04-04","4","2","2025","2.6","400.0","1040.0","Y","False","True","2025-09-09 02:00:01.010","0.0","0.0","501.77","H378AB31D3C56581","JRJ","2","15000.0","2025-04-04","501.77","6000.0","0.0334","200.4"
"1~B181EB244F6A0632","1","B181EB244F6A0632","1~AB9DDB1298358443","1~Y977BAFE02C5D403","10109.010 - Ascend Hospitality Group - GC2 - Review emails relating to power outage at Ascend Steak and Sushi in preparation to advise regarding the same; Review insurance policy relating to the same, update strategy memo. ","2024-11-07","11","4","2024","1.2","350.0","420.0","Y","False","True","2025-09-09 02:00:01.010","0.0","0.0","297.38","H1FE5B281147C132","CAJ","2","15000.0","2024-11-07","297.38","6000.0","0.0198","118.8"
"1~B18F5B2D75A78825","1","B18F5B2D75A78825","1~AB9DDB1298358443","1~Y05DDAAF3FA5C240","10109.010 - Ascend Hospitality Group - GC2 - Review emails.  Attend L10 meeting.  Research Monkey contract.","2025-04-04","4","2","2025","3.2","400.0","1280.0","Y","False","True","2025-09-09 02:00:01.010","0.0","0.0","617.56","H378AB31D3C56581","JRJ","2","15000.0","2025-04-04","617.56","6000.0","0.0411","246.6"
"1~B1932B32F6321911","1","B1932B32F6321911","1~AC361AB169FF7591","1~YB387AAF35F66861","10132.000 - Amshot LLC - General - Correspondence with Michael regarding operating agreement, coordinated with staff regarding executed operating, researched files for proper OA.","2025-07-04","7","3","2025","0.2","420.0","84.0","Y","False","True","2025-09-09 02:00:01.010","0.0","0.0","1000.0","H86B7B33F6D75835","BPL","2","3500.0","2025-07-04","1000.0","1400.0","0.2857","399.98"
"1~B1946B32734A2100","1","B1946B32734A2100","1~AB9DDB1298358443","1~Y05DDAAF3FA5C240","10109.010 - Ascend Hospitality Group - GC2 - Review AHG emails.  Review C Lavin email as to SLC.","2025-06-05","6","2","2025","1.2","400.0","480.0","Y","False","True","2025-09-09 02:00:01.010","0.0","0.0","207.53","HF1A8B32A52DD279","JRJ","2","15000.0","2025-06-05","207.53","6000.0","0.0081","48.6"
"1~B1AA9B1A3299B152","1","B1AA9B1A3299B152","1~AB9DDB1298358443","1~Y05DDAAF3FA5C240","10109.010 - Ascend Hospitality Group - GC2 - Email E Morris regarding Clackamas.  Review Northgate lease as to repairs.  Review Cintas agreement.","2025-08-04","8","3","2025","2.3","400.0","920.0","Y","False","True","2025-09-09 02:00:01.010","0.0","0.0","253.6","HD2E5B3471D0F264","JRJ","2","15000.0","2025-08-04","253.6","6000.0","0.0166","99.6"
"1~B1AB1B2FA2913197","1","B1AB1B2FA2913197","1~A27C9B321A696349","1~Y2FC8AAF389FC807","11091.003 - Plan Group Financial - GC2 - Work on review and redline of YAC Commission Sharing Agreement.","2025-07-01","7","3","2025","0.8","420.0","336.0","Y","False","True","2025-09-09 02:00:01.010","0.0","0.0","309.15","HDE8BB345B6B9282","RAW","2","6000.0","2025-07-01","309.15","2400.0","0.0883","211.92"
"1~B1AB4B28687CB353","1","B1AB4B28687CB353","1~AB9DDB1298358443","1~Y05DDAAF3FA5C240","10109.010 - Ascend Hospitality Group - GC2 - Reviewed emails.  Emailed C Martin regarding Northgate tax issue.","2025-01-03","1","1","2025","2.0","400.0","800.0","Y","False","True","2025-09-09 02:00:01.010","0.0","0.0","220.52","HC1DCB31DFCAA370","JRJ","2","15000.0","2025-01-03","220.52","6000.0","0.0115","69.0"
"1~B1B61B30FB43C895","1","B1B61B30FB43C895","1~AB9DDB1298358443","1~Y05DDAAF3FA5C240","10109.010 - Ascend Hospitality Group - GC2 - Review emails.  Revise MB lease.  Draft email to R Perez.","2025-06-05","6","2","2025","3.5","400.0","1400.0","Y","False","True","2025-09-09 02:00:01.010","0.0","0.0","2056.1","HF1A8B32A52DD279","JRJ","2","15000.0","2025-06-05","2056.1","6000.0","0.0803","481.8"
"1~B1BEFB3291CDD803","1","B1BEFB3291CDD803","1~A27C9B321A696349","1~Y2FC8AAF389FC807","11091.003 - Plan Group Financial - GC2 - Send emails on Trademark response. ","2025-07-01","7","3","2025","0.3","420.0","126.0","Y","False","True","2025-09-09 02:00:01.010","0.0","0.0","115.93","HDE8BB345B6B9282","RAW","2","6000.0","2025-07-01","115.93","2400.0","0.0331","79.44"
"1~B1CD8B2BFD556617","1","B1CD8B2BFD556617","1~AC361AB169FF7591","1~Y2FC8AAF389FC807","10132.000 - Amshot LLC - General - Work on updates to amshot. Complete Rider.","2025-04-03","4","2","2025","0.6","336.0","201.6","Y","False","True","2025-09-09 02:00:01.010","0.0","0.0","233.98","H75B3B3130034598","RAW","2","3500.0","2025-04-03","233.98","1400.0","0.0668","93.52"
"1~B1EE8B20A7182134","1","B1EE8B20A7182134","1~AB9DDB1298358443","1~Y977BAFE02C5D403","10109.010 - Ascend Hospitality Group - GC2 - Prepare for L10 executive meeting; attend L10; Review emails regarding Letter of Intent for Buzz; Revise LOI, and draft email regarding the same; Review emails regarding Northgate tax and update strategy memo; Review and highlight Ascend lease; Draft email to M. Dugan regarding Lease and helpful provisions for use in Worker's Comp matter.","2024-09-05","9","3","2024","3.2","350.0","1120.0","Y","False","True","2025-09-09 02:00:01.010","0.0","0.0","453.09","H4A2BB22B440B472","CAJ","2","15000.0","2024-09-05","453.09","6000.0","0.0304","182.4"
"1~B1F2DB3400A82709","1","B1F2DB3400A82709","1~AB9DDB1298358443","1~Y05DDAAF3FA5C240","10109.010 - Ascend Hospitality Group - GC2 - Draft revisions to MB license and management agreement.","2025-08-04","8","3","2025","2.1","400.0","840.0","Y","False","True","2025-09-09 02:00:01.010","0.0","0.0","223.6","HD2E5B3471D0F264","JRJ","2","15000.0","2025-08-04","223.6","6000.0","0.0147","88.2"
"1~B1FD6B33E5030342","1","B1FD6B33E5030342","1~AB9DDB1298358443","1~Y05DDAAF3FA5C240","10109.010 - Ascend Hospitality Group - GC2 - Draft license.  Call with E Morris.","2025-08-04","8","3","2025","4.1","400.0","1640.0","Y","False","True","2025-09-09 02:00:01.010","0.0","0.0","436.56","HD2E5B3471D0F264","JRJ","2","15000.0","2025-08-04","436.56","6000.0","0.0287","172.2"
"1~B202BB22CF5BE414","1","B202BB22CF5BE414","1~AB9DDB1298358443","1~Y977BAFE02C5D403","10109.010 - Ascend Hospitality Group - GC2 - Teleconference with W. Blackholm and L. Morris regarding revising Tanasbourne Lease; Review emails regarding Northgate tax issue. ","2024-10-03","10","4","2024","1.0","350.0","350.0","Y","False","True","2025-09-09 02:00:01.010","0.0","0.0","239.45","HEBACB2817B80480","CAJ","2","15000.0","2024-10-03","239.45","6000.0","0.0159","95.4"
"1~B2177B2E915A5516","1","B2177B2E915A5516","1~AB9DDB1298358443","1~Y05DDAAF3FA5C240","10109.010 - Ascend Hospitality Group - GC2 - Research and respond to Northgate questions.  Email E Morris.  Call with client on Northgate.","2025-04-04","4","2","2025","4.3","400.0","1720.0","Y","False","True","2025-09-09 02:00:01.010","0.0","0.0","829.85","H378AB31D3C56581","JRJ","2","15000.0","2025-04-04","829.85","6000.0","0.0553","331.8"
"1~B2225B2FAE1AA575","1","B2225B2FAE1AA575","1~AB9DDB1298358443","1~Y05DDAAF3FA5C240","10109.010 - Ascend Hospitality Group - GC2 - Draft Mama Bird provisions.  Email E Morris on same.  Attend L10 meeting.","2025-05-19","5","2","2025","3.2","400.0","1280.0","Y","False","True","2025-09-09 02:00:01.010","0.0","0.0","748.68","H591BB31D8C4D509","JRJ","2","15000.0","2025-05-19","748.68","6000.0","0.0253","151.8"
"1~B23FAB24E4236301","1","B23FAB24E4236301","1~AB9DDB1298358443","1~Y05DDAAF3FA5C240","10109.010 - Ascend Hospitality Group - GC2 - Review and respond to emails regarding Ascend Prime power.  Review and respond to C Martin email (Northgate taxes).","2024-11-07","11","4","2024","1.1","400.0","440.0","Y","False","True","2025-09-09 02:00:01.010","0.0","0.0","311.54","H1FE5B281147C132","JRJ","2","15000.0","2024-11-07","311.54","6000.0","0.0207","124.2"
"1~B2482B2EA5BC5990","1","B2482B2EA5BC5990","1~AB9DDB1298358443","1~Y977BAFE02C5D403","10109.010 - Ascend Hospitality Group - GC2 - Prepare for L10 executive weekly meeting; draft legal summary memo and email to client; Attend L10. ","2025-04-04","4","2","2025","2.0","350.0","700.0","Y","False","True","2025-09-09 02:00:01.010","0.0","0.0","337.69","H378AB31D3C56581","CAJ","2","15000.0","2025-04-04","337.69","6000.0","0.0225","135.0"
"1~B2566B259534D505","1","B2566B259534D505","1~AB9DDB1298358443","1~Y05DDAAF3FA5C240","10109.010 - Ascend Hospitality Group - GC2 - Review Ascend emails.  Draft E Morris management agreement/compensation.  Email C Martin regarding Northgate.","2024-12-05","12","4","2024","2.0","400.0","800.0","Y","False","True","2025-09-09 02:00:01.010","0.0","0.0","669.64","H5836B281BA27898","JRJ","2","15000.0","2024-12-05","669.64","6000.0","0.0446","267.6"
