"BillableHoursAmount","StaffAbbreviation","BillableHoursDate","MatterName"
"0.1","AEZ","2020-04-20","UHS of Delaware Inc - Shadow Mountain Behavioral Health System, LLC 201700349 - T. Keener 10009.003"
"0.2","AEZ","2022-03-09","A-Tech Paving - Truestrong Lawsuit 10033.001"
"0.1","AEZ","2020-04-27","UHS of Delaware, Inc. - Jesica Sanders 10009.001"
"1.5","RAW","2021-12-30","RAD COFFEE OZ FUND LLC - OZ Fund Formation 10607.001"
"0.6","CAJ","2023-11-20","WD ADVENTURE DISTRICT LLC - General 10901.000"
"0.1","AEZ","2025-01-07","Lagunita Franchise Operations, LLC - Defense of Inspire Brands 11135.002"
"2.2","BPL","2022-10-13","Utex Industries Inc. - Hammerless Torqueless Connection Patent 10158.002"
"0.3","ERH","2023-06-28","916NW6 LLC - Revolucion Lease 10573.002"
"1.6","JRJ","2022-07-15","GeoX Energy Inc - General 10191.000"
"0.3","AEZ","2023-03-14","First Security Bank - General 10248.000"
"2.7","BPL","2020-05-28","Project Holdings LLC - Lucas0403 10155.002"
"0.2","AEZ","2023-07-07","Injectable Techniques, LLC dba Soul Aesthetics - Kimiko v Christianson et al 10801.001"
"0.4","JER","2020-12-29","EIGHTTWENTY OZ FUND LLC - FUND FORMATION 10414.001"
"0.8","RAW","2021-07-06","ONEYETMANY LLC - General 10094.000"
"0.8","TRB","2021-03-10","Pivot Project Development LLC - WPA Development Partners 10027.001"
"2.1","CAJ","2024-07-10","Pivot Project Development LLC - General 10027.000"
"3.0","JRJ","2022-07-12","GeoX Energy Inc - Trademark Filing 10191.008"
"1.0","ERH","2020-12-02","Burnett Equity - Company Formation 10101.002"
"2.1","AEZ","2022-07-06","Hoss Directional Services, Inc. - John Williams Age Discrimination 10709.001"
"0.4","ERH","2021-03-16","Quillen, Jim - JQ Oklahoma, LLC Formation 10494.001"
"0.6","JRJ","2020-04-17","Cogent Medical Laboratory - General 10263.000"
"0.5","TRB","2021-12-28","WDCO NYC 001 LLC - Post Closing 10572.004"
"0.4","JER","2022-11-07","Purchase Agreement - Oak Glen RV & Mobile Home Park 10755.001"
"0.4","RAW","2022-08-03","Moore, Russell - Opportunity Zone 10673.001"
"0.2","DAC","2021-10-21","Dental Depot - Corporate General 10046.000"
"0.4","BPL","2024-11-06","Sara Zellner - Swearingen Renovation 11170.001"
"1.0","BPL","2021-09-14","Tier 1 Cleaning Tools, LLC - General 10432.000"
"2.0","JER","2021-02-23","Triton Value Partners SW, LLC - GC2 10095.000"
"0.2","AEZ","2022-02-24","Peterson v. Brauchie 10620.001"
"0.9","TRB","2021-08-30","Last Brand, Inc. - General 10296.000"
"0.6","AEZ","2021-07-09","Hiley Acura of Fort Worth Texas - Sharifi v. Hiley Acura of Fort Worth Texas 10511.001"
"0.4","JRJ","2023-05-23","Adam Software, LLC - General 10907.000"
"0.6","JSM","2023-02-28","BrewTru LLC - General 10254.000"
"1.3","DAC","2021-12-14","Compellier - GC2 General 10552.000"
"1.1","AEZ","2024-05-13","Santiago-Brennan McDonald's, Inc. - Latonya M. Christian EEOC Claim 10934.002"
"0.2","ERH","2024-03-04","Swivel Chair, LLC - Company Formation 11064.001"
"0.3","AEZ","2024-05-09","Dulaney's, Inc. - Corporate 10204.001"
"1.1","DAC","2021-10-06","Green Leaf Pharmaceutical LLC - Kola ORG LLC - Asset Sale 2021 10601.001"
"2.4","WMJ","2023-12-04","Endero - General 10989.000"
"0.2","TRB","2021-03-03","TheXPlace, Inc - General 10404.000"
"0.2","JRJ","2022-03-30","Moore Primary Care Inc. - OHCA Audit Litigation 10070.001"
"0.2","AEZ","2023-12-07","Appraisal Shield - General 10100.000"
"1.8","TRB","2022-03-01","Last Brand, Inc. - General 10296.000"
"0.5","AEZ","2023-08-09","Bartlesville 501 LLC - General 10113.000"
"0.6","ERH","2021-04-01","Integrity Testing, Inc. - GC2 10381.000"
"1.0","ERH","2024-01-11","WD ADVENTURE DISTRICT LLC - General 10901.000"
"0.2","ERH","2023-06-23","Legacy Cryogenic Transportation - General 10186.000"
"0.2","RAW","2023-08-15","MSA Investors, LLC - General 10802.000"
"0.6","DAC","2020-11-16","CPAOKC - Collections 10153.001"
"2.8","JRJ","2020-12-18","BBN HOTEL INVESTMENTS LLC - Marriot Franchise 10399.002"
"0.7","CAJ","2025-02-24","JCWoods Investments, LLC - Jerlow 11173.003"
"1.4","BPL","2024-07-25","Tier 1 Cleaning Tools, LLC - General 10432.000"
"0.1","AEZ","2019-12-20","Braver, Robert v Northstar Alarm Services C Yodel Technologies LLC (BANKRUPTCY DO NOT BILL) 10010.001"
"0.3","TRB","2020-09-10","40 E Sunland Ave AZ LLC - Company Formation 10348.001"
"1.5","JER","2023-01-06","The Children's Center, Inc. - Bethany Children's Health Center - Litigation 10397.004"
"10.5","DAC","2021-11-08","WDCO NYC 001 LLC - General 10572.000"
"1.2","AEZ","2023-04-26","Larry and Beverly Walker and Walker Farms, Inc - Lease dispute with B&L Red Angus, LLC 10820.001"
"0.9","TRB","2022-12-23","Last Brand, Inc. - Vendor Management 10296.025"
"0.3","JRJ","2023-06-06","Utex Industries Inc. - Adjustable Expandable Spool Patent 10158.003"
"2.2","AEZ","2024-01-23","First Security Bank - General 10248.000"
"0.1","RAW","2022-04-04","Porter, Rodney - Tommy's Express Franchise 10700.001"
"0.2","RAW","2023-06-26","555 Peoria LLC - General 10792.000"
"3.1","JRJ","2023-03-21","VANESSA HOUSE BEER COMPANY LLC v. City of OKC 10037.001"
"0.2","AEZ","2022-03-02","Switchgrass Holding LLC - Burger King Corporation 10120.002"
"1.6","BPL","2024-08-28","IDS-Innovative Dispense Solutions - General 10973.000"
"1.2","JRJ","2022-05-06","Patrick McKenzie Ministries Inc. - Lit DEF - Dept. of Education Suit 10608.001"
"0.2","AEZ","2024-08-26","The Academy - General 10258.000"
"0.5","AEZ","2022-05-04","Deacon Lumber Company - General 10568.000"
"0.5","ERH","2021-06-23","Iron Star LLC - Foreign Entity Qualification 10307.002"
"1.3","CAJ","2024-06-24","Ascend Hospitality Group - GC2 10109.010"
"0.1","BPL","2023-11-21","Empire Dunk - Company Formation 10969.001"
"1.8","JRJ","2023-03-02","Utex Industries Inc. - General 10158.000"
"0.5","DAC","2020-03-16","JCR HOLDINGS LLC - General 10238.000"
"0.3","ERH","2023-01-25","Long Poultry LLC - Company Formation 10841.001"
"1.5","CAJ","2024-04-19","Ascend Hospitality Group - GC2 10109.010"
"3.0","JRJ","2022-11-07","Patrick McKenzie Ministries Inc. - Lit DEF - Dept. of Education Suit 10608.001"
"0.7","RAW","2021-02-03","TWOYETMANY LLC - General 10346.000"
"3.3","JER","2024-04-11","Wick, Wyatt and Jenifer - WAPI Entity Formations 10912.005"
"0.1","AEZ","2021-11-09","Tribune Capital Partners LLC - Cael v Tribune 10436.001"
"0.3","AEZ","2022-03-16","Hoss Directional Services, Inc. - John Williams Age Discrimination 10709.001"
"4.7","BPL","2022-10-27","Utex Industries Inc. - Hammerless Torqueless Connection Patent 10158.002"
"0.6","DAC","2020-04-23","CA Investment Management - General 10019.000"
"1.0","CNM","2022-11-18","OASIS 8680  LLC- General 10687.000"
"0.3","CAJ","2025-02-14","WD ADVENTURE DISTRICT LLC - General 10901.000"
"0.1","BPL","2021-12-03","Tier 1 Cleaning Tools, LLC - Grooveit Trademark 10432.002"
"1.7","TRB","2020-12-08","Orange Leaf Holdings LLC - BRIX Acquisition 10025.015"
"0.1","AEZ","2024-05-08","Durant Mobile  Park, LLC - Book and Mankin Fiduciary Claims 11028.001"
"0.5","RAW","2020-09-14","ONEYETMANY LLC - Spiked Coffee Lease 10094.005"
"0.5","TRB","2020-11-03","TheXPlace, Inc - General 10404.000"
"1.7","TGF","2025-01-20","Foraker Company - Grove Civic Center 10330.005"
"0.3","AEZ","2021-03-24","TRIBUNE CAPITAL MANAGEMENT LLC - Franklin v. Tribune 10431.001"
"1.4","CNM","2022-07-05","HurryHub LLC 16 S Penn v HurryHub 10703.002"
"0.2","TRB","2021-04-27","David Hill - Outremer, LLC 10413.001"
"0.4","ERH","2019-12-13","Tribune Capital LLC - Ashley Park 10116.001"
"0.6","WMJ","2024-04-02","Brick Igloo, LLC - General 11085.000"
"0.2","AEZ","2022-09-22","Holtkamp Petersen Enterprises, Inc. - Thompson 10797.001"
"0.2","JRJ","2022-10-24","Patrick McKenzie Ministries Inc. - Lit DEF - Dept. of Education Suit 10608.001"
"0.1","AEZ","2021-11-19","Radio & TV Experts, LLC - Common Law Trademark Infringement 10007.003"
"3.4","JRJ","2024-01-03","Ascend Hospitality Group - STANFORD MD Trademark Infringement Litigation 10109.008"
"0.5","DAC","2021-04-27","CPAOKC - Collections 10153.001"
"4.4","CNM","2022-11-15","WDCO NYC 001 LLC - Taconic Capital Loan 10572.005"
"0.1","AEZ","2025-03-11","Quick-Mincey Development Corporation II - General 10857.000"
"0.0","JSM","2022-03-21","Donnie and Treasa Roper - Prepare Access Easement 10762.001"
"1.6","RAW","2021-06-25","OSB Café Franchisor LLC - General 10560.000"
"0.4","AEZ","2022-08-09","Last Brand, Inc. - General 10296.000"
"4.1","JRJ","2024-05-29","Appraisal Shield - Utah Department of Commerce 10100.002"
"0.7","ERH","2022-04-21","916NW6 LLC - General 10573.000"
"0.1","AEZ","2023-04-07","Peterson v. Brauchie 10620.001"
"1.1","DAC","2020-04-16","OLD FONE MATTERS - TIME 10000.002"
"0.7","JER","2022-06-07","Estate of Catherine Dwen Montgomery 10704.000"
"0.5","BPL","2020-08-04","Mar-K Specialized Mfg., Inc. - Bed Wood and Parts, LLC 10005.002"
"0.2","AEZ","2021-05-04","REACHING SOULS INTERNATIONAL - Trademarks and Website Terms 10502.001"
"0.2","JRJ","2021-07-22","Moore Primary Care Inc. - OHCA Audit Litigation 10070.001"
"0.1","AEZ","2020-08-26","UHS of Delaware, Inc. - Jesica Sanders 10009.001"
"0.1","ERH","2021-01-04","PD-Rx Pharmaceuticals, Inc. - General 10081.000"
"0.5","AEZ","2022-04-20","UHS of Delaware, Inc., dba Horizon Mental Health Management, LLC - Karla Smith 10009.005"
"0.6","DAC","2021-08-13","ROSELAND HOLDINGS LLC - General 10523.000"
"0.3","JER","2024-11-18","Comma Insurance - General 10203.000"
"0.3","AEZ","2020-07-21","Q.B. Johnson Manufacturing, Inc. re: Hector Romero 10138.001"
"2.9","BPL","2023-12-06","Apex MWD LLC - General 10716.000"
"1.0","CAJ","2024-12-10","Derik Kinghorn - Claim Climbers 11204.001"
"0.5","ERH","2020-11-05","Allparts Music Corp. dba Walrus Audio - General 10368.000"
"2.0","TRB","2021-01-08","Gupta, Siddhartha - Company Formation 10428.001"
"0.4","CNM","2022-07-18","QuivverPay LLC dba Cathedral Payments - General 10686.000"
"5.2","JRJ","2024-05-06","Appraisal Shield - Utah Department of Commerce 10100.002"
"0.5","RAW","2025-02-13","WD ADVENTURE DISTRICT LLC - General 10901.000"
"0.2","RAW","2022-04-27","CHICAGO DT HOTEL INVESTMENT LLC - Westin Acquisition 10717.001"
"0.3","DAC","2020-09-16","WDCO BROADWAY LLC - Arsenault Purchase 10172.001"
"0.6","TRB","2022-10-03","ONEOK - General 10756.000"
"4.1","BPL","2022-07-26","Shellback General Contracting Co. - General 10057.000"
"2.3","JER","2022-12-12","MSA Investors, LLC - General 10802.000"
"0.4","RAW","2022-06-02","Suite T, LLC - General 10139.000"
"0.4","RAW","2023-02-15","WDCO VENTURES LLC - General 10648.000"
"0.1","AEZ","2021-12-29","Radio & TV Experts, LLC - General 10007.000"
"0.2","TRB","2021-08-16","Lucerna Company, LLC - General 10286.000"
"0.8","BPL","2022-10-19","Utex Industries Inc. - Hammerless Torqueless Connection Patent 10158.002"
"0.3","DAC","2020-06-01","CPAOKC - Collections 10153.001"
"0.3","ERH","2023-03-10","Project Holdings LLC - Lucas0403 10155.002"
"0.3","AEZ","2024-03-20","Last Brand, Inc. - General 10296.000"
"1.6","DAC","2021-01-19","Dental Depot - Corporate General 10046.000"
"0.2","AEZ","2025-02-05","Lagunita Franchise Operations, LLC - Marco Smith claim 11135.001"
"1.0","TRB","2021-01-26","amshot LLC - General 10132.000"
"1.3","JRJ","2020-09-21","Hot Chick, Inc. - General 10144.000"
"1.8","RAW","2020-07-30","WDCO BROADWAY LLC - Arsenault Purchase 10172.001"
"0.9","BPL","2019-11-27","Shellback General Contracting Co. - General 10057.000"
"2.5","JER","2021-10-18","Triton Value Partners SW, LLC - GC2 10095.000"
"0.9","DAC","2020-01-30","Barro LLC - General - Old 10098.000"
"2.5","BPL","2021-05-24","Jasco Products Company, LLC - Power Switch -Tethered 10038.002"
"0.7","JLH","2022-08-03","AVSAR DEVELOPMENTS LLC - Ground Lease 10666.001"
"0.6","CAJ","2023-11-06","Paul Harvatin - General 10908.000"
"0.3","BPL","2022-08-02","amshot LLC - General 10132.000"
"1.4","CAJ","2025-02-19","WD ADVENTURE DISTRICT LLC - Retail Site 10901.003"
"1.5","RAW","2024-04-24","LIBERTYBELLOK LLC - Tax Credits 10920.002"
"0.8","TRB","2023-05-02","Last Brand, Inc. - General 10296.000"
"0.8","JRJ","2022-06-23","CHICAGO DT HOTEL INVESTMENT LLC - Westin Acquisition 10717.001"
"2.8","JER","2020-03-20","MATTHEWS PLUMBING AND UTILITIES LLC - Mallet Plumbing Asset Purchase 10240.002"
"3.3","JER","2022-01-24","Compellier - GC2 General 10552.000"
"0.2","BPL","2024-06-17","Standards IT - General 10077.000"
"0.9","JRJ","2022-08-17","Hurst v. Knauf 10028.001"
"1.2","RAW","2021-07-14","Compellier - GC2 General 10552.000"
"0.5","RAW","2024-03-26","Off The Hook Eatery, LLC - Lease Negotiation 11070.001"
"1.2","DAC","2021-02-18","Porterfield, Jamie - Sedrick Williams & Fresh Start Realty LLC 10508.001"
"2.1","JRJ","2023-11-08","Perinatal Quality Foundation - General 10659.000"
"1.6","AEZ","2021-04-01","Creekside Village, L.P. - Ch. 11 proceeding 10197.002"
"1.5","BPL","2019-10-30","Farmacy Distributing, LLC - Smoke Shop Farmacy 10031.001"
"1.6","WMJ","2023-10-03","The Hub on Morgan, LLC - General 10968.000"
"0.7","JER","2021-11-17","Shops at Cornerstone LLC - General 10617.000"
"0.5","RAW","2021-05-27","ONEYETMANY LLC - 1732C Community Room Lease 10094.008"
"0.3","AEZ","2024-04-01","Dulaney's, Inc. - Corporate 10204.001"
"0.2","ERH","2024-09-10","STRUBLE PROPERTIES L.L.C. - General 10619.000"
"0.2","BPL","2021-08-09","DoubleBarrel Downhole Technologies - General 10090.000"
"0.6","CNM","2023-01-03","Larry and Beverly Walker and Walker Farms, Inc - Lease dispute with B&L Red Angus, LLC 10820.001"
"0.6","CAJ","2024-07-02","Ascend Hospitality Group - GC2 10109.010"
"0.5","TRB","2022-09-22","ONEOK - General 10756.000"
"1.0","TRB","2023-05-02","Last Brand, Inc. - Vendor Management 10296.025"
"1.8","TRB","2020-12-02","Tanenbaum Equity Partners - Corecivic, Inc. Portfolio Purchase 10398.001"
"0.3","BPL","2024-03-16","Apex MWD LLC - General 10716.000"
"4.0","JRJ","2023-02-02","DROPSHOTS, LLC - Trademark  Applications 10853.001"
"0.4","BPL","2023-10-27","Access Downhole, LLC - General 10014.000"
"2.0","TGF","2024-07-02","Appraisal Shield - General 10100.000"
"0.4","AEZ","2024-11-14","Dodson, Sellers, Wanzer - Chad Ford Litigation 11130.001"
"0.4","RAW","2020-01-29","Bartlesville 501 LLC - General 10113.000"
"0.8","ERH","2023-02-01","Burnett Equity - General 10101.000"
"0.1","AEZ","2023-02-27","David Abernethy - General 10569.000"
"0.8","AEZ","2025-01-07","Lagunita Franchise Operations, LLC - Defense of Inspire Brands 11135.002"
"1.5","JSM","2021-09-10","Evans, Josh and Kristi - General 10157.000"
"2.4","BPL","2020-12-22","J Paul Williams - IRS Audit 10415.001"
"0.1","AEZ","2024-11-21","Lagunita Franchise Operations, LLC - Defense of Inspire Brands 11135.002"
"3.6","JRJ","2021-06-03","Moore Primary Care Inc. - OHCA Audit Litigation 10070.001"
"1.0","ERH","2022-11-29","FIRM 10000.001"
"1.5","RAW","2022-02-24","OL Brooks LLC - Vox Audio Lease 10691.001"
"1.8","CNM","2022-12-28","Trans-Tel Central LLC - General 10693.000"
"0.4","AEZ","2020-04-06","UHS of Delaware, Inc. - Jesica Sanders 10009.001"
"0.1","DAC","2021-03-10","Building Site Material, Inc. - The Mantle Lease Dispute 10481.001"
"1.8","JER","2020-12-11","J Paul Williams - IRS Audit 10415.001"
"0.4","BPL","2020-08-14","Donkey Cone - Bottom Rubber Tool 10356.001"
"0.8","JRJ","2020-09-04","Willoughby Ridley LLC - Trademark 10253.001"
"2.8","JER","2021-06-30","Compellier - GC2 General 10552.000"
"3.0","TRB","2022-04-22","Last Brand, Inc. - General 10296.000"
"1.6","AEZ","2023-05-02","Tribune Capital Real Estate Partners LLC - Sampson v. TCREP 10892.001"
"0.1","AEZ","2023-03-13","Funky Chicken, LLC dba Chick-fil-A of Eastside Market - EEOC Charge of Discrimination 10871.001"
"3.0","JER","2022-09-29","ASD888QOZ LLC - OZ Fund Formation 10650.001"
"0.0","ERH","2020-01-10","Elliott, Weslie - Estate Plan 10111.001"
"0.6","AEZ","2021-04-02","Creekside Village, L.P. - Ch. 11 proceeding 10197.002"
"1.2","ERH","2023-07-31","Oak Cliff LLC - Initial Lease Agreement 10786.002"
"1.0","ERH","2021-09-01","WDCO NYC 001 LLC - General 10572.000"
"2.9","JRJ","2020-05-01","Orange Leaf Holdings LLC - OL FDD 2020 10025.010"
"1.4","BPL","2020-03-11","Shellback General Contracting Co. - Haus de Lux, et al 10057.002"
"2.4","JRJ","2024-03-12","Ascend Hospitality Group - GC2 10109.010"
"1.8","JSM","2022-06-29","Porter, Rodney - General 10700.000"
"2.1","BPL","2023-10-18","IDS-Innovative Dispense Solutions - General 10973.000"
"0.2","CAJ","2023-11-30","1710 ORR Hotel Investment LLC - General 10722.000"
"0.2","AEZ","2022-07-12","Hoss Directional Services, Inc. - John Williams Age Discrimination 10709.001"
"1.3","TRB","2021-10-01","Last Brand, Inc. - Fundraising Due Diligence and Disclosure Schedules 10296.019"
"0.8","AEZ","2022-06-21","Hoss Directional Services, Inc. - John Williams Age Discrimination 10709.001"
"2.8","RAW","2019-12-20","WD CO 23rd Street LLC - General 10209.000"
"1.2","RAW","2020-08-24","JCR HOLDINGS LLC - 209 NW 132nd Lease 10238.001"
"0.2","BPL","2022-05-26","WERM Flooring - Conquer Equine Dispute 10621.001"
"0.2","AEZ","2020-08-21","UHS of Delaware, Inc. - Jesica Sanders 10009.001"
"0.2","AEZ","2024-05-16","WilkinGuttenplan - S. Medford Charge of Discrimination 11061.001"
"4.9","JRJ","2024-05-08","Darby, Gina - Dept of Education Action Corrected 10776.002"
"3.9","JRJ","2025-02-28","Ascend Hospitality Group - GC2 10109.010"
"1.0","AEZ","2023-03-09","Project Holdings LLC - Lucas0403 10155.002"
"1.8","JRJ","2019-12-03","Valvulas Del Pacifico - Z-Lok Locking Mechanism 10079.002"
"0.8","JRJ","2022-03-02","VANESSA HOUSE BEER COMPANY LLC v. City of OKC 10037.001"
"2.7","BPL","2024-03-06","84HG LLC - General 10597.000"
"0.4","RAW","2019-12-09","Appraisal Shield - General 10100.000"
"0.2","AEZ","2021-05-21","Bennett Construction, Inc. - General 10122.000"
"0.5","AEZ","2023-09-12","First Security Bank - General 10248.000"
"0.2","AEZ","2020-06-11","UHS of Delaware, Inc. - Jesica Sanders 10009.001"
"0.7","DAC","2021-03-12","13111 Highland Park Hotel Investment LLC - Aloft Post Closing 10421.002"
"0.6","ERH","2024-11-11","WD ADVENTURE DISTRICT LLC - Retail Site 10901.003"
"2.4","BPL","2020-04-29","DoubleBarrel Downhole Technologies - General 10090.000"
"0.8","RAW","2023-08-29","916NW6 LLC - 916NW6 v. Spatium 10573.001"
"0.4","RAW","2022-02-11","Preserve at Covell HOA - General 10026.002"
"0.5","ERH","2022-04-28","4S APARTMENTS LLC - COFO 10728.001"
"1.5","CAJ","2024-01-10","Ascend Hospitality Group - GC2 10109.010"
"0.2","AEZ","2019-12-04","UHS of Delaware, Inc., dba Horizon Mental Health Management, LLC - Regina Gower - 20195045 10009.002"
"0.7","ERH","2020-01-09","Dental Depot - Corporate Restructuring 10046.002"
"1.4","BPL","2021-08-06","Beale Enterprises, LLC - Crappie Stoppie Trademark 10548.001"
"0.7","RAW","2024-06-04","Boundless Hospitality LLC - General 10771.000"
"0.8","JRJ","2020-06-18","Orange Leaf Holdings LLC - General 10025.013"
"1.7","AEZ","2021-07-02","Q.B. Johnson Manufacturing, Inc. re: Hector Romero 10138.001"
"0.3","ERH","2020-08-07","Crown Cannabis - Trademark Protection 10333.001"
"2.1","BPL","2022-08-12","Custom Wood Fibers and Cedar Mulch, LLC - Cedar Bedding 2nd Cont Pat 10024.003"
